dep,last_date,path_data,n_jobs,time,id_uuid
all,18-02-2025,../../data/scraper_2/18-02-2025.csv,1285,45.90129065513611,9b1d7fa6-a72d-4d27-b4a9-398130e773a9
all,18-02-2025,../../data/scraper_2/18-02-2025.csv,1285,44.35331559181213,3511080e-3e6d-42d9-81c8-8e21693740dc
all,18-02-2025,../../data/scraper_2/18-02-2025.csv,1285,45.282066822052,30eabc71-c1e4-4798-a4e5-a75c57a21425
all,20-02-2025,data/scraper_2/20-02-2025.csv,1274,41.71579933166504,c49889ed-3437-4846-8632-257f61d84f4b
all,20-02-2025,data/scraper_2/20-02-2025.csv,1274,49.39104843139648,8ce86d50-d416-4ca7-acd5-ede3c769e19a
all,21-02-2025,data/scraper_2/21-02-2025.csv,1269,43.44688272476196,33509544-da8b-49d7-93d3-c4d44e6d7dfc
all,22-02-2025,data/scraper_2/22-02-2025.csv,1239,40.62044715881348,84cd7f37-95ae-40c0-83d5-a4617b6387e0
all,23-02-2025,data/scraper_2/23-02-2025.csv,1239,39.58281993865967,602babdc-45cd-4d5c-876a-3c831f8aef11
all,24-02-2025,data/scraper_2/24-02-2025.csv,1244,39.56353831291199,72f3b4ad-76c7-48a1-9dd3-610b318e7f62
all,25-02-2025,data/scraper_2/25-02-2025.csv,1248,46.5476188659668,29378c0e-78b0-4b18-8862-67a3ec42fd54
all,26-02-2025,data/scraper_2/26-02-2025.csv,1246,40.40503573417664,ee532bdc-c88d-4a76-ae95-6e757ed99bf8
all,27-02-2025,data/scraper_2/27-02-2025.csv,1233,46.052565574646,9e3816f5-e180-4427-8512-6063e0b2859d
all,28-02-2025,data/scraper_2/28-02-2025.csv,1240,41.412617206573486,d9a1f452-4564-416b-8a8f-76aacb447d79
all,01-03-2025,data/scraper_2/01-03-2025.csv,1226,43.47082281112671,6e4988b5-e958-4120-addd-fb0a7780a5c3
all,02-03-2025,data/scraper_2/02-03-2025.csv,1226,39.59247946739197,b480672a-80a2-4191-b542-6c685e6cfa06
all,03-03-2025,data/scraper_2/03-03-2025.csv,1230,40.385469913482666,bfa670d5-8bf3-4567-939f-3d96a4e6e02a
all,04-03-2025,data/scraper_2/04-03-2025.csv,1231,41.19891047477722,d18d59ed-2f04-48d2-b761-2b36e339b769
all,05-03-2025,data/scraper_2/05-03-2025.csv,1200,44.245216846466064,7996357d-d907-4cdf-b830-829a6158ae4d
all,06-03-2025,data/scraper_2/06-03-2025.csv,1251,46.8874614238739,7c4676d5-cb54-4730-9d5e-6b7934d4c584
all,07-03-2025,data/scraper_2/07-03-2025.csv,1233,36.07291030883789,8df47373-f0bc-4abd-a526-9f869ecabc18
